AICAR,VCAM1_rna,TEFM_rna,RP11-727A23.5_rna,FAM72C_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camptothecin,NDE1_rna,NDUFAF5_rna,TMC5_rna,CNOT6_rna,MSH6_rna,C16orf58_rna,SLC17A4_rna,RCAN1_rna,SMCP_rna,SOCS5_rna,CCL19_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinblastine,XYLT2_rna,CEACAM6_rna,GLI1_rna,RAP2A_rna,RGS10_rna,SEC24D_rna,CACNA1D_rna,SNF8_rna,FOXL2_rna,OLFML2A_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
temsirolimus,EHD3_rna,RFXANK_rna,UNG_rna,TYR_rna,OSTM1_rna,LEPREL1_rna,CAP2_rna,CTGF_rna,UPF3B_rna,UBAC1_rna,EIF4E2_rna,PDGFC_rna,ERMAP_rna,NUDT4_rna,GPR171_rna,FAF1_rna,HEXIM1_rna,MRPL33_rna,RPS27A_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZD-2281,GALE_rna,FAM178A_rna,DOPEY2_rna,RPS6KB2_rna,OPLAH_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABT-888,FSD1_rna,UXT_rna,SH3BP4_rna,SLC31A2_rna,TPM1_rna,NCAM1_rna,PTPRO_rna,TIAM1_rna,NCSTN_rna,CKB_rna,SLCO3A1_rna,MARC1_rna,TCF4_rna,ANXA4_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosutinib,EPHA4_rna,PROX1_rna,SOX9_rna,SYBU_rna,NCAM1_rna,NEUROG1_rna,OLFML2A_rna,CNTLN_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lenalidomide,CCL22_rna,TMEM106C_rna,TNS3_rna,SLC38A6_rna,CCDC15_rna,TGOLN2_rna,GRIK2_rna,ZNF266_rna,CER1_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axitinib,ZNF510_rna,APOH_rna,ARSA_rna,FAM190B_rna,GALE_rna,FAM178A_rna,CGA_rna,ASNSD1_rna,NR6A1_rna,KCNJ15_rna,PDXK_rna,KRT81_rna,ITGA1_rna,AC231657.2_rna,CSTF2T_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZD7762,GABRP_rna,GLI1_rna,C9_rna,CAPN9_rna,FGD2_rna,MAPK13_rna,HEG1_rna,TMPRSS2_rna,GPR83_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW 441756,TYRP1_rna,CCDC15_rna,S100A10_rna,LPAR1_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEP-701,SLC6A16_rna,TIE1_rna,RGP1_rna,PDE6H_rna,ADH6_rna,CROCCP2_rna,RP11-44F21.3_rna,DCUN1D5_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB 216763,CST7_rna,GLE1_rna,SLC12A5_rna,HNMT_rna,APEH_rna,ANKRD11_rna,NTSR2_rna,MBP_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-AAG,ENPP4_rna,XYLT2_rna,FAS_rna,RRP12_rna,CSDA_rna,CBFA2T2_rna,VDR_rna,MDM1_rna,TP53I3_rna,IGFBP5_rna,MXI1_rna,DOCK6_rna,TRAF3_rna,SCAPER_rna,FUBP1_rna,HTR3A_rna,TPM4_rna,AVEN_rna,SPHK1_rna,RGS7_rna,EPHB4_rna,AQP4-AS1_cnv,DSC1_cnv,LOC101927412_cnv,ZNF521_cnv,ZNF644_cnv,ZNHIT6_cnv,,,,,,,,,,,,,,,,,,,,,,,
VX-702,FECH_rna,ACTR5_rna,TBC1D17_rna,FRK_rna,DUSP4_rna,WNT10B_rna,POLG2_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMG-706,BRF2_rna,RNFT2_rna,NDEL1_rna,LPO_rna,USP32_rna,RGR_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KU-55933,ACSM3_rna,TNS1_rna,FGF14_rna,DNAJC2_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elesclomol,ERCC1_rna,HEBP1_rna,ADAM28_rna,SYT1_rna,OSTM1_rna,CACNA1S_rna,BLVRB_rna,PIN4_rna,TOX3_rna,ETHE1_rna,PRUNE2_rna,GLI1_rna,QKI_rna,DNAJC6_rna,RAB32_rna,TNFRSF10B_rna,FOXA2_rna,PVRL2_rna,TRAF3_rna,YAP1_rna,CYP1B1_rna,ST18_rna,RGS10_rna,TENM4_rna,NCAM1_rna,RBMS1_rna,PTPRN2_rna,DLK2_rna,TLN2_rna,UCP2_rna,C7orf10_rna,MLXIP_rna,KCMF1_rna,UBE2N_rna,PCP4_rna,RPS27L_rna,PDE2A_rna,TOX_rna,EIF1AD_cnv,LOC100505515_cnv,RHOD_cnv,,,,,,,,,
BIBW2992,FYN_rna,KCNH2_rna,REST_rna,CDH12_rna,LRRC8E_rna,SCG2_rna,PHF8_rna,PCSK1_rna,ANXA2_rna,MIR6730_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
