drugName,AUC,MCC,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy
AZD7762,0.877,0.556502386206527,0.760833333333333,0.52219512195122,0.397938128626371,0.956036807536876,0.516666666666667,0.149306367132869,0.730378852300276,0.735,0.79,0.79452380952381,0.797738095238095,0.79452380952381,0.735,0.734920634920635,0.494444444444444,0.361111111111111,0.466944444444444,0.7625
GW 441756,0.758,0.374919229465276,0.676944444444444,0.357209302325581,0.326723511495357,0.913726617918829,0.516666666666667,0.295676590082023,0.788826479038427,0.665,0.695,0.684285714285714,0.707619047619048,0.684285714285714,0.665,0.658203463203463,0.494444444444444,0.328333333333333,0.485277777777778,0.68
CEP-701,0.85275,0.628390600794262,0.806111111111111,0.611069418386492,0.448569586092918,0.969295077648708,0.516666666666667,0.134701789783729,0.947950012218695,0.865,0.745,0.77,0.878333333333333,0.77,0.865,0.809191919191919,0.494444444444444,0.431111111111111,0.561666666666667,0.805
SB 216763,0.80975,0.375369079040812,0.6825,0.365054945054945,0.326373273411626,0.92477663274512,0.516666666666667,0.273660826346438,0.909657519963893,0.655,0.71,0.705,0.681428571428571,0.705,0.655,0.668679653679654,0.494444444444444,0.325,0.473055555555556,0.6825
17-AAG,0.913,0.638060959419101,0.810555555555556,0.62109756097561,0.450283901519091,0.971329449552118,0.516666666666667,0.102044368569769,0.909657519963893,0.85,0.775,0.800238095238095,0.851666666666667,0.800238095238095,0.85,0.815151515151515,0.494444444444444,0.419722222222222,0.534444444444444,0.8125
VX-702,0.8575,0.605941897808374,0.788055555555556,0.574774436090226,0.437733798097915,0.955170106808369,0.516666666666667,0.159932221831632,0.710839180693848,0.765,0.81,0.84,0.802023809523809,0.84,0.765,0.770930735930736,0.494444444444444,0.379722222222222,0.476944444444444,0.7875
AMG-706,0.882,0.621050169390026,0.793333333333333,0.588212275529349,0.435863300014499,0.960889209446476,0.516666666666667,0.137392304632869,0.788068294101291,0.815,0.775,0.798095238095238,0.863888888888889,0.798095238095238,0.815,0.769393939393939,0.494444444444444,0.403333333333333,0.518888888888889,0.795
KU-55933,0.79375,0.442781302523919,0.71,0.424529616724739,0.365167096896532,0.924523105717264,0.516666666666667,0.275430270366423,0.783952827112537,0.725,0.705,0.741666666666667,0.714761904761905,0.741666666666667,0.725,0.715656565656566,0.494444444444444,0.3575,0.510555555555556,0.715
Elesclomol,0.933,0.702792569285394,0.839444444444444,0.674554655870445,0.481436677196623,0.980951091690971,0.516666666666667,0.0760619988824783,0.826500040728985,0.93,0.74,0.801190476190476,0.938333333333333,0.801190476190476,0.93,0.852835497835498,0.494444444444444,0.462222222222222,0.590555555555556,0.835
BIBW2992,0.824,0.466725500993614,0.724722222222222,0.450054945054945,0.373499592398443,0.934012223356237,0.516666666666667,0.242302481482882,0.831373692654875,0.78,0.67,0.716309523809524,0.77,0.716309523809524,0.78,0.736288156288156,0.494444444444444,0.388611111111111,0.558055555555556,0.725
